Date,Time,Transaction ID,Account Number (Sender),Account Name (Sender),Account Number (Receiver),Account Name (Receiver),Category,Amount,Transaction Type,Description
2024-10-02,22:36:21,T5720342,AC20176268,Adani Enterprises,AC54410508,Rohan,Shopping,1114.29,Debit,Auto-generated transaction details
2024-10-02,22:36:21,T6686487,AC27713988,Karthik,AC90068900,Wipro,Transport,7356.82,Debit,Auto-generated transaction details
2024-10-02,22:36:21,T1725773,AC69742935,Aditi,AC79965094,Diya,Utilities,1513.43,Credit,Auto-generated transaction details
2024-10-02,22:36:21,T7120105,AC34108974,State Bank of India,AC53723214,Aditi,Healthcare,2929.27,Credit,Auto-generated transaction details
2024-10-02,22:36:21,T9672836,AC26780559,Kabir,AC88435759,Axis Bank,Food,4344.23,Credit,Auto-generated transaction details
2024-10-02,22:36:21,T5409347,AC26125195,Rohan,AC23523102,Bajaj Finserv,Food,9155.7,Debit,Auto-generated transaction details
2024-10-03,22:36:21,T1870405,AC77876468,Aarav,AC97183102,Kabir,Healthcare,4133.24,Debit,Auto-generated transaction details
2024-10-03,22:36:21,T8059103,AC42067438,Bharti Airtel,AC83274127,HDFC Bank,Healthcare,7990.63,Debit,Auto-generated transaction details
2024-10-03,22:36:21,T8464662,AC64023537,Mahindra & Mahindra,AC28754125,Rajesh,Transport,2712.41,Debit,Auto-generated transaction details
2024-10-03,22:36:21,T3034783,AC83867517,Infosys,AC89782627,Vikram,Healthcare,8650.65,Debit,Auto-generated transaction details
2024-10-03,22:36:21,T5641527,AC80569512,Infosys,AC87883146,Nikhil,Education,3630.02,Credit,Auto-generated transaction details
2024-10-03,22:36:21,T9287298,AC54044964,State Bank of India,AC64849816,Adani Enterprises,Miscellaneous,5626.32,Credit,Auto-generated transaction details
2024-10-03,22:36:21,T5417640,AC16100164,Meera,AC96693238,Sneha,Entertainment,9146.82,Debit,Auto-generated transaction details
2024-10-04,22:36:21,T4651239,AC64416496,Tata Consultancy Services,AC23782484,Rohan,Miscellaneous,9806.06,Credit,Auto-generated transaction details
2024-10-05,22:36:21,T8152394,AC22860073,Infosys,AC42959611,Wipro,Miscellaneous,3655.11,Credit,Auto-generated transaction details
2024-10-05,22:36:21,T5652206,AC81313373,Larsen & Toubro,AC67636274,Rohan,Utilities,9259.35,Debit,Auto-generated transaction details
2024-10-05,22:36:21,T5888985,AC28347428,Rajesh,AC61944074,Akash,Transport,2243.64,Credit,Auto-generated transaction details
2024-10-05,22:36:21,T7960056,AC72048591,State Bank of India,AC83927824,Neha,Entertainment,6881.27,Debit,Auto-generated transaction details
2024-10-05,22:36:21,T6102954,AC38221759,Meera,AC23263871,Arjun,Miscellaneous,4186.64,Credit,Auto-generated transaction details
2024-10-05,22:36:21,T9195752,AC27420568,Adani Enterprises,AC76056371,Tata Consultancy Services,Transport,754.6,Debit,Auto-generated transaction details
2024-10-05,22:36:21,T9882283,AC71573875,Kabir,AC88759190,Siddharth,Education,5469.55,Credit,Auto-generated transaction details
2024-10-05,22:36:21,T9697924,AC39119078,Bajaj Finserv,AC67623110,Tata Consultancy Services,Miscellaneous,7424.4,Credit,Auto-generated transaction details
2024-10-06,22:36:21,T4271152,AC46699053,Diya,AC38031392,Siddharth,Food,6498.87,Credit,Auto-generated transaction details
2024-10-06,22:36:21,T9170576,AC31328360,Karthik,AC97466068,Ishita,Education,6555.48,Credit,Auto-generated transaction details
2024-10-06,22:36:21,T3390385,AC33273949,Kabir,AC97799582,HDFC Bank,Utilities,3396.39,Debit,Auto-generated transaction details
2024-10-06,22:36:21,T3619294,AC24282544,Lakshmi,AC33922485,ICICI Bank,Healthcare,5696.78,Debit,Auto-generated transaction details
2024-10-07,22:36:21,T8772735,AC98050466,Adani Enterprises,AC32977707,Tata Consultancy Services,Shopping,8968.78,Credit,Auto-generated transaction details
2024-10-07,22:36:21,T2734728,AC58871548,Sneha,AC27939197,Axis Bank,Shopping,855.36,Credit,Auto-generated transaction details
2024-10-07,22:36:21,T4267061,AC71310508,Larsen & Toubro,AC31132702,Pooja,Shopping,3025.04,Credit,Auto-generated transaction details
2024-10-07,22:36:21,T7087694,AC11925520,Priya,AC83774618,Ishita,Miscellaneous,9271.0,Credit,Auto-generated transaction details
2024-10-07,22:36:21,T2936615,AC96956597,Priya,AC17056530,ICICI Bank,Food,4040.26,Debit,Auto-generated transaction details
2024-10-08,22:36:21,T2398723,AC54193778,Ananya,AC83083648,Meera,Healthcare,8888.56,Debit,Auto-generated transaction details
2024-10-09,22:36:21,T1156540,AC65473673,Rajesh,AC34101934,Sneha,Utilities,6916.14,Debit,Auto-generated transaction details
2024-10-09,22:36:21,T4828237,AC11129597,State Bank of India,AC44880719,Mahindra & Mahindra,Transport,5193.63,Credit,Auto-generated transaction details
2024-10-09,22:36:21,T4622135,AC12126515,Diya,AC95134012,Pooja,Shopping,1412.55,Debit,Auto-generated transaction details
2024-10-09,22:36:21,T3840848,AC18220691,Larsen & Toubro,AC92918584,Akash,Healthcare,5266.1,Credit,Auto-generated transaction details
2024-10-09,22:36:21,T9253057,AC41505182,Diya,AC82137552,Akash,Healthcare,8470.28,Credit,Auto-generated transaction details
2024-10-09,22:36:21,T5608348,AC45817710,Rajesh,AC18268496,Lakshmi,Healthcare,262.89,Credit,Auto-generated transaction details
2024-10-10,22:36:21,T2367482,AC77952514,State Bank of India,AC80499509,Lakshmi,Miscellaneous,4976.94,Debit,Auto-generated transaction details
2024-10-10,22:36:21,T3793939,AC33484962,Mahindra & Mahindra,AC37076978,Diya,Shopping,6660.45,Credit,Auto-generated transaction details
2024-10-10,22:36:21,T2803991,AC41780334,Larsen & Toubro,AC53049946,Arjun,Food,3701.24,Credit,Auto-generated transaction details
2024-10-10,22:36:21,T6722263,AC35642928,ICICI Bank,AC42693567,Arjun,Healthcare,4764.94,Credit,Auto-generated transaction details
2024-10-11,22:36:21,T4744291,AC93968643,Nikhil,AC74997418,Neha,Food,4292.74,Credit,Auto-generated transaction details
2024-10-11,22:36:21,T1225994,AC10493211,HDFC Bank,AC31829186,Karthik,Education,2085.63,Credit,Auto-generated transaction details
2024-10-11,22:36:21,T1948905,AC87661856,Rajesh,AC39271061,Reliance Industries,Entertainment,702.39,Debit,Auto-generated transaction details
2024-10-11,22:36:21,T2679885,AC71614731,Ishita,AC87455036,Akash,Shopping,1928.28,Debit,Auto-generated transaction details
2024-10-11,22:36:21,T1576308,AC95986824,Infosys,AC18984820,ICICI Bank,Entertainment,7471.25,Debit,Auto-generated transaction details
2024-10-11,22:36:21,T5565167,AC21260594,Ananya,AC84177073,Sneha,Miscellaneous,4910.36,Credit,Auto-generated transaction details
2024-10-11,22:36:21,T1715167,AC19175356,Reliance Industries,AC98400307,Mahindra & Mahindra,Healthcare,9489.73,Debit,Auto-generated transaction details
2024-10-11,22:36:21,T3013791,AC97205543,State Bank of India,AC35234669,Rajesh,Entertainment,318.78,Credit,Auto-generated transaction details
2024-10-12,22:36:21,T1036511,AC59400193,State Bank of India,AC25956489,Aarav,Transport,8820.72,Debit,Auto-generated transaction details
2024-10-12,22:36:21,T4889626,AC88259996,Lakshmi,AC87205654,ICICI Bank,Education,4996.4,Debit,Auto-generated transaction details
2024-10-12,22:36:21,T4467920,AC92173513,Wipro,AC19569511,State Bank of India,Healthcare,7047.1,Credit,Auto-generated transaction details
2024-10-12,22:36:21,T4486112,AC44336050,Rohan,AC99663416,HDFC Bank,Shopping,7451.05,Debit,Auto-generated transaction details
2024-10-12,22:36:21,T7334625,AC99993893,Pooja,AC93976890,Axis Bank,Healthcare,9444.92,Credit,Auto-generated transaction details
2024-10-12,22:36:21,T9056735,AC13526906,ICICI Bank,AC97157406,Larsen & Toubro,Education,6499.25,Credit,Auto-generated transaction details
2024-10-13,22:36:21,T2636811,AC61812951,Siddharth,AC12342892,Diya,Healthcare,2321.84,Debit,Auto-generated transaction details
2024-10-13,22:36:21,T3342516,AC38042207,Hindustan Unilever,AC39198202,Neha,Food,6188.14,Credit,Auto-generated transaction details
2024-10-14,22:36:21,T5420539,AC44137707,State Bank of India,AC42816862,Pooja,Utilities,4641.04,Credit,Auto-generated transaction details
2024-10-14,22:36:21,T7399152,AC57027649,Priya,AC44503715,Kabir,Shopping,9816.23,Credit,Auto-generated transaction details
2024-10-14,22:36:21,T7876441,AC14389493,Hindustan Unilever,AC47251129,Vikram,Utilities,4186.36,Debit,Auto-generated transaction details
2024-10-14,22:36:21,T8958345,AC34690116,Larsen & Toubro,AC57203568,Lakshmi,Healthcare,5508.44,Credit,Auto-generated transaction details
2024-10-14,22:36:21,T1397574,AC17317524,Reliance Industries,AC33604200,Bajaj Finserv,Education,8105.01,Credit,Auto-generated transaction details
2024-10-14,22:36:21,T5748457,AC61095863,Hindustan Unilever,AC36347734,Adani Enterprises,Utilities,452.32,Debit,Auto-generated transaction details
2024-10-14,22:36:21,T2272183,AC92790108,Kabir,AC51520685,Karthik,Transport,1166.25,Debit,Auto-generated transaction details
