Date,Time,Transaction ID,Account Number (Sender),Account Name (Sender),Account Number (Receiver),Account Name (Receiver),Category,Amount,Transaction Type,Description,Source
2024-10-02,22:36:21,T5720342,AC20176268,Adani Enterprises,AC54410508,Rohan,Shopping,1114.29,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-02,22:36:21,T6686487,AC27713988,Karthik,AC90068900,Wipro,Transport,7356.82,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-02,22:36:21,T1725773,AC69742935,Aditi,AC79965094,Diya,Utilities,1513.43,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-02,22:36:21,T7120105,AC34108974,State Bank of India,AC53723214,Aditi,Healthcare,2929.27,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-02,22:36:21,T9672836,AC26780559,Kabir,AC88435759,Axis Bank,Food,4344.23,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-02,22:36:21,T5409347,AC26125195,Rohan,AC23523102,Bajaj Finserv,Food,9155.7,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-03,22:36:21,T1870405,AC77876468,Aarav,AC97183102,Kabir,Healthcare,4133.24,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-03,22:36:21,T8059103,AC42067438,Bharti Airtel,AC83274127,HDFC Bank,Healthcare,7990.63,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-03,22:36:21,T8464662,AC64023537,Mahindra & Mahindra,AC28754125,Rajesh,Transport,2712.41,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-03,22:36:21,T3034783,AC83867517,Infosys,AC89782627,Vikram,Healthcare,8650.65,Debit,Auto-generated transaction details,banking_transactions.csv
2024-10-03,22:36:21,T5641527,AC80569512,Infosys,AC87883146,Nikhil,Education,3630.02,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-03,22:36:21,T9287298,AC54044964,State Bank of India,AC64849816,Adani Enterprises,Miscellaneous,5626.32,Credit,Auto-generated transaction details,banking_transactions.csv
2024-10-03,22:36:21,T5417640,AC16100164,Meera,AC96693238,Sneha,Entertainment,9146.82,Debit,Auto-generated transaction details,banking_transactions.csv
